Store,Age0to9,Age10to17,Age18to24,Age25to29,Age30to39,Age40to49,Age50to64,Age65Plus,EdLTHS,EdHSGrad,EdSomeCol,EdAssociate,EdBachelor,EdMaster,EdProfSchl,EdDoctorate,HHSz1Per,HHSz2Per,HHSz3Per,HHSz4Per,HHSz5PlusPer,HHIncU25K,HHInc25Kto50K,HHInc50Kto75K,HHInc75Kto100K,HHInc100Kto150K,HHInc150Kto250K,HHInc250KPlus,PopAsian,PopBlack,PopHispanic,PopMulti,PopNativeAmer,PopOther,PopPacIsl,PopWhite,HVal0to100K,HVal100Kto200K,HVal200Kto300K,HVal300Kto400K,HVal400Kto500K,HVal500Kto750K,HVal750KPlus,PopDens
S0058,0.130477917,0.120830625,9.89E-02,6.90E-02,0.138876535,0.159813212,0.183435394,9.86E-02,0.105272857,0.243162134,0.213731013,0.102377129,0.193750494,5.30E-02,1.11E-02,6.40E-03,0.149854324,0.276785223,0.195646199,0.193832115,0.183937112,0.111043923,0.154526964,0.182123028,0.181738222,0.239569018,0.100379308,3.05E-02,8.26E-02,1.25E-02,0.291876914,2.78E-02,3.08E-03,2.67E-03,1.28E-03,0.578194756,1.64E-02,2.26E-02,8.17E-02,0.236295743,0.203286034,0.38334578,5.65E-02,5168.29979
S0059,0.145480096,0.115417449,0.114813307,8.15E-02,0.133384116,0.136417961,0.17017113,0.102835529,0.206025288,0.307638903,0.213662087,7.57E-02,8.40E-02,2.54E-02,5.58E-03,3.81E-03,0.240601219,0.278650664,0.177488358,0.14663234,0.156551698,0.293681142,0.278272063,0.190966569,0.106500587,9.36E-02,2.80E-02,8.90E-03,3.02E-02,6.31E-02,0.28741414,4.54E-02,4.87E-03,2.38E-03,4.44E-03,0.562167558,0.215977175,9.33E-02,0.144650499,0.285592011,0.161388493,8.76E-02,1.15E-02,7055.294865
S0060,0.160361496,0.123851558,0.108629076,8.26E-02,0.142917192,0.137062391,0.154476671,9.01E-02,0.260063297,0.224359608,0.235387202,0.112105628,0.147463159,3.23E-02,1.03E-02,4.30E-03,0.200626959,0.261755486,0.160266458,0.150274295,0.227076803,0.219729624,0.282621473,0.178095611,0.104721787,0.141359718,5.51E-02,1.82E-02,4.30E-02,2.03E-02,0.526827804,1.82E-02,4.77E-03,1.47E-03,2.19E-03,0.383215733,4.60E-02,3.20E-02,0.212523719,0.371705672,0.139995783,0.14589922,5.19E-02,3908.964517
S0061,0.140052356,0.108965969,9.42E-02,6.56E-02,0.118673647,0.116819372,0.185754799,0.169829843,0.15166113,0.318936877,0.180730897,6.05E-02,7.29E-02,3.65E-02,2.34E-02,2.82E-03,0.30506156,0.32995896,0.145280438,0.109439124,0.110533516,0.328864569,0.308071135,0.167989056,0.104514364,0.067031464,1.67E-02,7.66E-03,2.18E-02,3.28E-02,0.196356496,2.54E-02,8.84E-03,1.20E-03,2.29E-03,0.711246864,0.220412075,0.407762338,0.290368951,0.045040728,9.58E-03,1.87E-02,8.15E-03,1224.382079
S0062,0.181192661,0.113818807,6.05E-02,5.10E-02,0.181479358,0.144208716,0.162844037,0.104357798,0.107699154,0.214508233,0.281708945,9.97E-02,0.193146417,7.17E-02,8.01E-03,7.57E-03,0.151885831,0.292558614,0.153924567,0.212028542,0.189602446,9.99E-02,0.106014271,0.205912334,0.176350663,0.251783894,0.121304791,4.08E-02,0.151046145,5.67E-02,0.268271711,2.92E-02,3.73E-03,1.72E-03,6.31E-03,0.482946403,0.149411765,9.18E-02,0.270588235,0.222352941,0.150588235,9.29E-02,2.24E-02,992.0565581
S0063,8.77E-02,7.32E-02,9.86E-02,0.111058377,0.190544505,0.15188549,0.169273418,0.117724468,0.217308337,0.180920334,0.257323486,6.99E-02,0.249268016,6.58E-02,2.63E-02,7.97E-03,0.389477151,0.291113588,0.133726821,0.100542102,8.52E-02,0.365209241,0.245237613,0.152396393,8.13E-02,8.61E-02,4.35E-02,2.63E-02,0.146167039,3.19E-02,0.399195332,2.30E-02,1.83E-03,2.64E-03,7.33E-04,0.394524803,0.01504,0.0392,0.06048,0.16032,0.1296,0.20608,0.38928,18897.88706
S0064,0.105599568,9.93E-02,0.180716601,8.07E-02,0.128592006,0.127997839,0.165682391,0.111397191,0.167751011,0.187298517,0.209307778,7.50E-02,0.226246996,7.68E-02,2.35E-02,1.61E-02,0.228750275,0.286734022,0.173072699,0.150779706,0.16060839,0.201570393,0.232154623,0.180979574,0.11948166,0.15297606,7.42E-02,3.87E-02,0.173136478,5.86E-02,0.377565718,2.84E-02,1.89E-03,3.58E-03,1.60E-03,0.355167447,2.69E-02,4.92E-02,8.64E-02,0.188265188,0.263109263,0.283783784,0.102333102,6538.192913
S0065,0.109504692,0.11415975,0.102460531,6.11E-02,0.114824758,0.139430063,0.194945937,0.16364129,0.112426901,0.21871345,0.170394737,7.64E-02,0.200511696,9.16E-02,1.60E-02,2.45E-02,0.248725369,0.30687612,0.165013091,0.145514675,0.133801846,0.193675072,0.195466446,0.186716274,0.137453493,0.175899132,8.63E-02,2.45E-02,7.85E-02,5.86E-02,0.359612827,2.52E-02,3.23E-03,2.49E-03,1.85E-03,0.470494064,0.156471677,8.90E-02,0.139405778,0.160789555,0.201295363,0.210342346,4.27E-02,4948.745486
S0066,0.134610465,0.117272546,0.140010801,7.54E-02,0.128329023,0.129949123,0.16209533,0.112326976,0.169346546,0.186921567,0.211040479,9.13E-02,0.152706366,9.85E-02,1.92E-02,2.06E-02,0.271541311,0.289177001,0.162264455,0.134562732,0.14253503,0.259220486,0.277580931,0.188597198,0.115074891,9.74E-02,4.61E-02,1.59E-02,6.09E-02,6.00E-02,0.394047924,2.64E-02,3.52E-03,1.73E-03,3.58E-03,0.449873511,5.60E-02,0.252304147,0.315832785,0.266951942,6.14E-02,3.74E-02,1.02E-02,3386.016881
S0067,0.128691983,0.118024937,9.92E-02,7.27E-02,0.140022756,0.156710757,0.178471531,0.106220073,0.111070846,0.22920819,0.214060518,9.78E-02,0.198804131,6.06E-02,1.37E-02,6.89E-03,0.185040509,0.283637153,0.187789352,0.176070602,0.167534722,0.126374421,0.16833044,0.179253472,0.177300347,0.214916088,9.70E-02,3.70E-02,8.09E-02,1.33E-02,0.292378808,2.81E-02,3.46E-03,2.77E-03,1.28E-03,0.577717198,1.60E-02,2.05E-02,8.76E-02,0.228401084,0.187642276,0.359457995,0.100379404,4230.086749
